192.168.68.76,1733,221.76.163.71,445,其他TCP应用,3/3,186B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
172.13.2.11,51714,223.215.198.32,445,其他TCP应用,3/3,194B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
192.168.68.76,1750,80.55.85.37,445,其他TCP应用,3/3,186B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
192.168.68.76,1745,21.20.10.87,445,其他TCP应用,3/3,186B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
112.11.6.217,53662,172.22.152.230,3128,HTTP网页浏览,29/37,2.1KB/39KB,2018-04-10 16:20:48,2018-04-10 16:20:51
101.201.36.93,49416,172.22.152.230,3128,网络代理,7/5,1.2KB/576B,2018-04-10 16:20:49,2018-04-10 16:20:51
172.22.152.230,53091,211.159.232.241,443,HTTPS,19/24,1.7KB/24.8KB,2018-04-10 16:20:48,2018-04-10 16:20:51
172.22.157.122,62903,17.248.156.77,443,iCloud,17/16,3KB/11.7KB,2018-04-10 16:20:48,2018-04-10 16:20:51
192.168.77.3,57911,106.11.134.4,80,HTTP网页浏览,5/5,920B/576B,2018-04-10 16:20:49,2018-04-10 16:20:51
172.22.153.81,62241,125.39.6.16,80,文件单线程下载,5/5,585B/676B,2018-04-10 16:20:48,2018-04-10 16:20:51
192.168.66.31,41069,42.81.98.227,443,HTTPS,52/52,4.5KB/59.6KB,2018-04-10 16:19:34,2018-04-10 16:20:51
60.30.42.46,59700,172.22.148.6,443,HTTPS,13/18,4KB/7.5KB,2018-04-10 16:20:48,2018-04-10 16:20:51
172.22.152.230,33948,123.125.106.66,80,手机新浪微博,5/5,1.1KB/523B,2018-04-10 16:20:48,2018-04-10 16:20:51
192.168.68.76,1738,63.52.202.49,445,其他TCP应用,3/3,186B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
172.22.152.230,46912,218.30.118.222,80,HTTP网页浏览,6/5,1KB/958B,2018-04-10 16:20:49,2018-04-10 16:20:51
172.22.148.6,40641,119.167.209.163,80,HTTP网页浏览,25/22,2.8KB/29.4KB,2018-04-10 16:20:48,2018-04-10 16:20:51
192.168.75.145,9284,183.232.44.43,17788,其他UDP应用,1/0,139B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.22.152.230,38999,171.8.167.46,443,HTTPS,78/167,5.2KB/230.7KB,2018-04-10 16:20:47,2018-04-10 16:20:51
172.22.151.61,24478,150.138.229.158,17788,其他UDP应用,2/0,264B/0B,2018-04-10 16:20:18,2018-04-10 16:20:51
172.22.152.230,45755,101.37.42.237,443,HTTPS,13/12,2.6KB/4KB,2018-04-10 16:18:47,2018-04-10 16:20:51
172.22.150.202,62842,120.92.75.29,80,其他HTTP文件上传,6/10,887B/1.1KB,2018-04-10 16:20:48,2018-04-10 16:20:51
172.22.152.178,20342,116.29.246.164,21243,其他UDP应用,1/0,44B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.20.35.57,36354,119.29.29.29,53,域名解析,1/0,74B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.22.152.230,33843,123.125.106.66,80,手机新浪微博,6/5,1.2KB/780B,2018-04-10 16:20:48,2018-04-10 16:20:51
124.250.45.113,32296,172.22.152.230,3128,HTTP网页浏览,27/27,2KB/23KB,2018-04-10 16:20:48,2018-04-10 16:20:51
172.22.156.50,56803,36.99.36.10,80,HTTP网页浏览,14/30,1.1KB/34.4KB,2018-04-10 16:20:49,2018-04-10 16:20:51
172.22.157.139,36827,180.163.25.150,80,其他TCP应用,10/6,1.4KB/1.6KB,2018-04-10 16:20:18,2018-04-10 16:20:51
192.168.68.218,32344,101.227.201.41,17788,其他UDP应用,1/0,132B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.22.156.80,52129,58.247.214.101,80,HTTP网页浏览,14/10,1.4KB/2.1KB,2018-04-10 16:20:49,2018-04-10 16:20:51
192.168.76.197,4334,42.81.4.217,80,HTTP网页浏览,18/17,4KB/14.7KB,2018-04-10 16:20:12,2018-04-10 16:20:51
192.168.68.171,15179,111.33.20.2,23932,优酷网,1/0,270B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.76.197,4335,42.81.4.217,80,HTTP网页浏览,16/18,3.9KB/14.7KB,2018-04-10 16:20:12,2018-04-10 16:20:51
172.22.156.50,56802,36.99.36.10,80,HTTP网页浏览,26/48,1.8KB/60.5KB,2018-04-10 16:20:49,2018-04-10 16:20:51
192.168.64.3,53,172.22.153.224,14030,域名解析,1/0,135B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
47.104.197.139,58610,172.22.152.230,3128,网络代理,12/11,1KB/8.9KB,2018-04-10 16:20:48,2018-04-10 16:20:51
